age_scaled,total_salary_idr_scaled,total_spending_idr_scaled,frequency_yearly_scaled,membership_status_label,membership_status
-1.1579772090541656,1.7146012456668895,-0.8232424793665994,0.16325057637357934,2,Silver
-1.4211239444374553,-1.4735133153856952,-1.458363720067973,1.493495200513201,1,Platinum
-0.23696363521265207,-1.3034548914455615,-0.6323011116440156,0.7544704093245223,0,Gold
0.4209032032455719,1.1085523470248488,0.6405510835787717,-0.723579173052835,0,Gold
0.7498366224746839,-0.8683984620849864,0.6578723607710676,0.2371530554924472,0,Gold
-0.8290437898250537,1.5754495788245897,1.626971978159988,0.7544704093245223,0,Gold
-0.6316837382875864,-0.3024801668416552,-0.3910995802057163,-1.314799006003778,1,Platinum
-0.5001103705959417,-0.5617102447883099,-0.29965206594589905,1.5673976796320688,2,Silver
0.4209032032455719,-0.6241595054351466,1.1361298642252673,1.5673976796320688,2,Silver
-1.6842706798207447,-1.755351098266875,0.2627996504335524,-0.3540667774584957,2,Silver
-0.894830473670876,0.011460551453882556,0.19149469200586217,0.5327629719679187,0,Gold
1.2761300932412631,1.5188911911202136,-0.25170610125328036,0.9761778466811258,1,Platinum
0.026183100170637526,-0.7215335749752206,-0.095447339940482,1.1239828049188616,2,Silver
-1.3553372605916327,0.139237455468576,0.8857002840259521,0.5327629719679187,1,Platinum
-1.3553372605916327,1.557425530768042,-1.200627461732331,0.08934809725471148,2,Silver
0.4209032032455719,1.3310771671521766,0.6930884632642526,1.0500803257999938,0,Gold
0.2235431517081047,-0.9833734944031303,1.3064742740413398,-0.3540667774584957,2,Silver
1.2761300932412631,-1.6820013562791498,-1.189374940431142,-0.5018717356962314,0,Gold
0.5524765709372167,0.7883679516936497,-1.6932911075868444,-0.723579173052835,0,Gold
-0.23696363521265207,-0.6268156495407865,-0.0020015365206864076,-0.20626181922075998,2,Silver
-1.0921905252083433,0.08456291112632235,-0.5480669243890605,-0.20626181922075998,1,Platinum
1.6050635124703752,-1.7417127499699598,0.08371465336192506,-0.2801642983396278,0,Gold
-0.5001103705959417,0.3950671684162916,0.4169315753978507,-1.6843114015981173,1,Platinum
1.6050635124703752,-1.2032088707518203,1.407677078658612,1.1239828049188616,2,Silver
0.09196978401645993,-1.6646368934179818,-1.0665536376023215,1.345690242275465,0,Gold
-0.23696363521265207,-0.8524400889849629,1.4850310583229007,-0.5018717356962314,1,Platinum
-1.4869106282832776,1.3299527147933057,0.7187022966679146,-0.1323593401018921,0,Gold
-0.43432368675011923,-1.0526791553898966,1.163875195706841,-0.8713841312905707,2,Silver
-0.5001103705959417,-0.9837839495747047,-0.3509566512885126,1.1978852840377294,0,Gold
1.0129833578579734,-1.6305919742047421,-1.1816267576718023,-1.166994047766042,2,Silver
0.026183100170637526,1.472860789814202,-1.2958554443061374,-1.314799006003778,1,Platinum
0.4866898870913943,0.2804782864699065,0.8793074990930017,1.1978852840377294,0,Gold
-1.4869106282832776,1.3082005714361826,0.8257159081488584,-1.7582138807169851,1,Platinum
0.7498366224746839,0.9662907610368233,-1.2129444889446324,-1.6843114015981173,2,Silver
-1.2895505767458104,-1.2230172359959814,-0.5538153417741083,-1.5365064433603814,2,Silver
1.4077034609329078,-0.45671537380729815,0.34058247035595274,-0.7974816521717029,1,Platinum
